,TeamCity,TeamName,Conference,PlayoffRank,WINS,LOSSES,Record,HOME,ROAD,L10,LongWinStreak,strCurrentStreak,ConferenceGamesBack,ClinchedPlayoffBirth,ClinchedPlayIn,EliminatedConference
0,Cleveland,Cavaliers,East,1,64,18,64-18,34-7,30-11,6-4,16,L 1,0.0,1,0,0
1,Boston,Celtics,East,2,61,21,61-21,28-13,33-8,8-2,9,W 2,3.0,1,0,0
2,New York,Knicks,East,3,51,31,51-31,27-14,24-17,6-4,9,W 1,13.0,1,0,0
3,Indiana,Pacers,East,4,50,32,50-32,29-11,20-20,8-2,6,W 1,14.0,1,0,0
4,Milwaukee,Bucks,East,5,48,34,48-34,27-14,20-20,8-2,8,W 8,16.0,1,0,0
5,Detroit,Pistons,East,6,44,38,44-38,22-19,22-19,4-6,8,L 2,20.0,1,0,0
6,Orlando,Magic,East,7,41,41,41-41,22-19,19-22,7-3,6,L 1,23.0,0,1,0
7,Atlanta,Hawks,East,8,40,42,40-42,21-19,19-22,5-5,6,W 3,24.0,0,1,0
8,Chicago,Bulls,East,9,39,43,39-43,18-23,21-20,7-3,4,W 3,25.0,0,1,0
9,Miami,Heat,East,10,37,45,37-45,19-22,17-23,6-4,6,L 1,27.0,0,1,0
10,Toronto,Raptors,East,11,30,52,30-52,18-23,12-29,5-5,5,L 2,34.0,0,0,1
11,Brooklyn,Nets,East,12,26,56,26-56,12-29,14-27,3-7,3,L 3,38.0,0,0,1
12,Philadelphia,76ers,East,13,24,58,24-58,12-29,12-29,1-9,4,L 2,40.0,0,0,1
13,Charlotte,Hornets,East,14,19,63,19-63,12-29,7-34,1-9,3,L 7,45.0,0,0,1
14,Washington,Wizards,East,15,18,64,18-64,8-32,10-31,2-8,3,W 1,46.0,0,0,1
