,TeamCity,TeamName,Conference,PlayoffRank,WINS,LOSSES,Record,HOME,ROAD,L10,LongWinStreak,strCurrentStreak,ConferenceGamesBack,ClinchedPlayoffBirth,ClinchedPlayIn,EliminatedConference
0,Oklahoma City,Thunder,West,1,68,14,68-14,35-6 ,32-8 ,8-2  ,15,W 4,0.0,1,0,0
1,Houston,Rockets,West,2,52,30,52-30,29-12,23-17,6-4  ,9,L 3,16.0,1,0,0
2,Los Angeles,Lakers,West,3,50,32,50-32,31-10,19-22,6-4  ,8,L 1,18.0,1,0,0
3,Denver,Nuggets,West,4,50,32,50-32,26-15,24-17,5-5  ,9,W 3,18.0,1,0,0
4,LA,Clippers,West,5,49,32,49-32,30-11,19-21,9-1  ,7,W 7,18.5,0,0,0
5,Minnesota,Timberwolves,West,6,49,33,49-33,25-16,24-17,8-2  ,8,W 3,19.0,1,0,0
6,Golden State,Warriors,West,7,48,33,48-33,24-16,24-17,7-3  ,7,W 1,19.5,0,0,0
7,Memphis,Grizzlies,West,8,48,34,48-34,26-15,22-19,4-6  ,6,W 1,20.0,0,1,0
8,Sacramento,Kings,West,9,40,42,40-42,20-21,20-21,5-5  ,7,W 1,28.0,0,1,0
9,Dallas,Mavericks,West,10,39,43,39-43,22-18,17-25,4-6  ,7,L 1,29.0,0,1,0
10,Phoenix,Suns,West,11,36,46,36-46,24-17,12-29,1-9  ,7,L 1,32.0,0,0,1
11,Portland,Trail Blazers,West,12,36,46,36-46,22-19,14-27,4-6  ,6,W 1,32.0,0,0,1
12,San Antonio,Spurs,West,13,34,48,34-48,20-20,13-27,3-7  ,4,W 1,34.0,0,0,1
13,New Orleans,Pelicans,West,14,21,61,21-61,14-27,7-34 ,2-8  ,4,L 7,47.0,0,0,1
14,Utah,Jazz,West,15,17,65,17-65,10-31,7-34 ,1-9  ,2,L 2,51.0,0,0,1
